content,techniques
وفي عام 1963 عين وزيراً للخارجية ورئيساً للجنة الدائمة لمساعدات الخليج وظل في هذا المنصب لمدة 40 عاماً. وبحكم منصبه الوزاري أصبح عضواً في مجلس الأمة الكويتي، وهو أول من رفع علم الكويت فوق مبنى هيئة الأمم المتحدة لدى الموافقة على الانضمام إليها 1963.,['no_technique']
"اعلنت نيابة باريس أنها فتحت تحقيقا في التسبب بـ ""جروح غير متعمدة"" بعد انفجار مرفأ بيروت الذي خلف 113 قتيلا وآلاف الجرحى بينهم 21 فرنسيا. وقالت النيابة إن ""إحصاء أوليا سمح بتحديد هويات 21 شخصا فرنسي الجنسية أصيبوا في الانفجار. وانطلاقا من الاختصاص الذي يشمل وقائع حصلت في الخارج، فإن دائرة الحوادث الجماعية في نيابة باريس تفتح اليوم تحقيقا في التسبب بجروح غير متعمدة"".",['no_technique']
عبد الرحمن حميد، حارس مرمى الفريق الأول لكرة اليد «رجال» بالنادي الأهلي، قال إن الفريق يسير بخطوات ثابتة في مشواره ببطولة إفريقيا للأندية التي تقام في تونس، بعد الفوز على فلاورز البنيني ووفاق عين التوتة الجزائري بالدور الأول من البطولة.,"[""'loaded_language'""]"
وبالمعاينة تبين أن الهبوط ناتج عن وجود آبار عميقة موجودة بالشارع فى المنطقة المذكورة، وحال مرور قائد السيارة بالمنطقة انهارت به الأرض وسقط داخل حفرة عميقة .,['no_technique']
وجاء قرار الرئيس الجزائري في أعقاب مظاهرات حاشدة ضد ترشحه لعهدة رئاسية خامسة شهدتها البلاد خلال الأسابيع القليلة الماضية.,"[""'loaded_language'""]"
"وتقول كلير واردل -والتي أعدت تقريراً حديثاً عن أساطير اللقاحات على وسائل التواصل الاجتماعي- إن هناك ""عجز بيانات"" بخصوص موضوعات مثل تكنولوجيا مرسال الحمض النووي الريبي، ويحدث هذا حين يرتفع الطلب على المعلومات وينخفض قدر المعلومات ذات المصداقية.","[""'loaded_language'""]"
"ونجحت إحدى الحمامات في الإفلات من النورس بعدما خسرت بعضا من ريشها في الهجوم، إلا أن الغراب نجح في الفتك بالحمامة الأخرى، قبل أن يبادر ""الطائران المهاجمان"" إلى الفرار والتحليق بعيدا.","[""'loaded_language'""]"
وكان انتاج النفط الفنزويلي قد حافظ على مستواه منذ عام 2002 - قبل الاعلان عن اضراب عام - الى عام 2008، عندما بلغت اسعار النفط العالمية أوجها. وتشير احصاءات منظمة الدول المصدرة للنفط (أوبك) الى أن فنزويلا تقاضت نحو 60 مليار دولار في ذلك العام.,['no_technique']
لاحقا دخل البنك الدولي على خطوط النقاش حول ما أثارته تقارير صحافية وشخصيات برلمانية بخصوص دور الحكومة الأردنية في ملف “الملاذات الآمنة” لأموال تم تهريبها للخارج.,['no_technique']
وأفاد بأن أحد أفراد الأسرة توجه إلى قصر الوجبه، وأطلق النار على كابينة الحراسة الأولى، حيث أصر على لقاء تميم أو والده حمد بن خليفة، ولكن طلبه رفض على الفور فبادر إلى إطلاق النار في الجو، فتم اعتقاله، ومداهمة منزله لاحقا.,"[""'loaded_language'""]"
جرائم وحوادث دفن متوفي بكورونا يثير غضب السودانيين اثارا طريقة دفن متوفي غضب السودانيين واشعل مواقع التواصل الاجتماعي خاصة ان احد المشاركين في عملية الدفن مواطن عادي لا يرتدي قفازات ولا كمامة او لبس واقي من المرض وبحسب صحيفة صوت الأمة اثارت عملية الدفن حفيظة الشارع. الخرطوم: (كوش نيوز),"[""'loaded_language'""]"
7- زواج البائن بينونة كبرى ممن بانت منه إلا بعد إنقضاء عدتها من زوج اخر دخل بها دخولا حقيقيا فى زواج صحيح.,['no_technique']
ذكرت وكالة فيتش سلوشنز أن أرباح البنوك الكويتية شهدت نمواً قوياً في النصف الأول من العام الجاري على درب التعافي بعد الجائحة، منوهة إلى أنها تتلقى في ذلك دعماً من أسعار النفط المرتفعة مع توقعات بحدوث نمو سريع بالقروض على المدى القصير، لكن أسعار الفائدة المتصاعدة ستحد من الطلب في المدى الأطول.,"[""'loaded_language'""]"
وفي بيان صحفي يتحدث عن الأشياء التي تقوم بها Lamborghini لجعل عملياتها أكثر استدامة ، قالت شركة صناعة السيارات الإيطالية الخارقة إنها قامت بتركيب منحل بحوالي 600000 نحلة في متنزه Lamborghini في عام 2016، وكل عام ، تنتج الشركة حوالي 950 جنيهًا (430 جنيهًا إسترلينيًا). كيلوغرامات) من العسل ، ثم يتم منحها للموظفين في عيد الميلاد.,"[""'loaded_language'""]"
وأوضح المركز أن مدينة طرابلس سجلت 29 حالة إصابة، من بينها 19 حالة جديدة وعشر حالات مخالطة، وسجلت مدينة سبها 12 حالة إصابة جديدة لمخالطين، ومدينة مصراتة إصابتين، من بينهما حالة مخالطة وأخرى جديدة.,['no_technique']
توجه الرئيس الموريتاني، محمد ولد الشيخ الغزواني، اليوم الاثنين، إلى مالابو (غينياالاستوائية)، في إطار زيارة صداقة وعمل. ويرافق ولد الغزواني في هذا السفر وفد يضم محمد سالم ولد مرزوك، وزير الشؤون الخارجية والتعاون والموريتانيين في الخارج؛ إسماعيل ولد الشيخ أحمد، مدير ديوان رئيس الجمهورية؛ محمد ولد مكحله، سفير بلادنا في مالابو؛ تال عصمان، مكلف بمهمة برئاسة الجمهورية؛ الحسين ولد الناجي، مستشار برئاسة الجمهورية؛ الحسن ولد أحمد، المدير العام لتشريفات الدولة.,['no_technique']
من ناحية أخرى، وعلى إثر ذلك دعا بوتن الشيخ محمد بن زايد رئيس الإمارات لزيارتها وبحثوا زيادة التعاون بين البلدين.,"[""'loaded_language'""]"
إعلانات قانونية وإدارية وقضائية الرئيسية مجتمع اقتصاد رياضة ثقافة وفن جهات جالية دولية مرأة المزيد منوعات صحة جمعيات ميديا,['no_technique']
ورد بلاغ لديوان محافظة الإسكندرية، يفيد وقوع هبوط أرضى بقرية طيبة بمنطقة النهضة التابعة لحي العامرية غرب المدينة، وابتلع سيارة وداخلها قائد السيارة، والذى توفى داخل سيارته.,['no_technique']
"تقول جيفري: ""تتميز الميتوكوندريا بخصائص امتصاص الضوء بأطوال موجية تتراوح بين 650 إلى 1000 نانومتر ما يحسن من أدائها بإنتاج الطاقة وبالتالي أداء العين"". وتؤكد أنه من الممكن تحسين البصر لدى كبار السن بتعريضهم لومضات قصيرة من الأشعة الضوئية ذات الأطوال المحددة بالدراسة لإعادة شحن نظام الطاقة في خلايا الشبكية.",['no_technique']
"وانتشرت، أمس السبت، أنباء تنفيذ أحكام الإعدام بحق عدد من المتهمين على ذمة قضيتي ""مكتبة الإسكندرية""، و""أجناد مصر""، وقضى أهالي المتهمين الصادر بحقهم أحكام الإعدام ساعات طويلة يتواصلون مع محاميهم للبحث عن معلومات تؤكد أو تنفي تلك الأنباء، إلى أن وصلتهم المعلومة باتصالات هاتفية من المشرحة تخبرهم بالحضور لاستلام الجثامين.",['no_technique']
العدد: قدر جهاز الإحصاء الفلسطيني عدد الفلسطنيين في نهاية 2013 بحوالي 11.8 مليون نسمة، منهم 4.5 مليون في فلسطين، وحوالي 1.4 مليون في إسرائيل، وما يقارب 5.2 مليون في الدول العربية، ونحو 665 ألف في الدول الأجنبية.,['no_technique']
"وأوقفت 24 دولة عقوبة الإعدام عمليا رغم أنها تحتفظ بها في القانون؛ لكنها لم تنفذ أية عمليات إعدام طوال السنوات العشر الماضية أو أكثر، ويُعتقد أنها تنتهج سياسة أو لديها ممارسات تقضي بعدم تنفيذ عمليات إعدام، مما يرفع مجموع الدول التي ألغت عقوبة الإعدام في القانون وتنفيذها إلى 120 دولة"".","[""'loaded_language'""]"
"22:33 برلين تعلن إصابة أفراد من طاقم السفارة الألمانية في انفجار مرفأ بيروت. وزارة الخارجية الألمانية قالت إن ""هناك جرحى من أفراد طاقم السفارة""، وأضافت: ""نظراً للأضرار البالغة في المناطق السكنية في بيروت، لا يمكننا في الوقت الراهن استبعاد وجود رعايا ألمان بين القتلى والجرحى"".","[""'loaded_language'""]"
وأعلنت الرئاسة الجزائرية مطلع شهر نوفمبر الجاري، رسميا، عن إصابة الرئيس عبد المجيد تبون بفيروس كورونا المستجد، وأنه نقل بطائرة خاصة إلى ألمانيا لتلقي العلاج.,['no_technique']
"وبشأن ردود الفعل الصادرة عن بعض الدول الإسلامية مثل بنغلاديش وباكستان وتركيا، اعتقد ماركون ""أن ردود الفعل كان مردها أكاذيب وتحريف كلامي ولأن الناس فهموا أنني مؤيد لهذه الرسوم"". وأضاف ""هناك أناس يحرفون الإسلام وباسم هذا الدين يدّعون الدفاع عنه"".","[""'loaded_language'"", ""'straw_man'""]"
بدأ اليوم الأحد 9 أكتوبر (تشرين الأول)، الانتقال إلى المنصة الوطنية الموحدة للتوظيف في السعودية، وفق ما أعلن نظام «جدارة» الإلكتروني. وحسب تغريدة على موقع التواصل «تويتر»، فإن المنصة تعمل على ربط الباحثين عن العمل بالفرص الوظيفية.,['no_technique']
قالت الحكومة البلغارية مساء أمس الأحد الحجر الصحي لمدة عشرة أيام لأي شخص يصل من المملكة المتحدة، كما أنه ستبدأ من اليوم الإثنين تطبيق قرارها بشآن تعليق الرحلات الجوية من بريطانيا وإليها وذلك حتى 31 من يناير/كانون الثاني.,['no_technique']
وكشف التقرير أن هناك تحركاً سريعاً تم من قبل منظومة الاتصالات وتقنية المعلومات في السعودية، حيث نجحت المملكة في تحقيق التكامل بين جميع الجهات في القطاعات المحورية مثل الاتصالات وتقنية المعلومات والصحة والتعليم، والتعاون مع الشركات المقدمة لخدمات الاتصالات لإتاحة استخدام التطبيقات الهامة مجانًا.,"[""'loaded_language'""]"
وقلّد ماكرون فيروز أرفع وسام فرنسي، وهو وسام جوقة الشرف من رتبة كوموندور (Commandeur)، في المقابل شكرته فيروز وقدمت له بدورها هدية تذكارية، قيل أنها لوحة فنية، بحسب الوكالة الوطنية للإعلام.,"[""'loaded_language'""]"
أولى مغردون عمانيون اهتماما بالغا بنتائج الانتخابات البلدية التي أجريت في 25 ديسمبر/ كانون الأول.,['no_technique']
ك لف الدكتور محمد حلمى رئيس مركز ومدينه المنيا، الثلاثاء، رؤساء الأحياء والمجالس المحلية بضرورة التعاون مع الإدارة الزراعية بالمنيا لإنجاح حملة القضاء على القوارض والفئران، وذلك في الفترة من ٢٠٢٢/١٠/٩ إلى ٢٠٢٢/١٠/١٣ لمدة أسبوع بالقري والنجوع كإجراء احترازي للحد من أضرارها على المحاصيل الزراعية وستكون بخط الابراهيميه وذلك بطعم فوسفيد الزنك وجريش الذره بتركيز ١%. وذلك لحماية المحاصيل الزراعية والاقتصاد الزراعي.,"[""'loaded_language'""]"
وقد وقعت عمليات تمرد كبرى في عامي 1144 و1145 ورغم إخماد ذلك التمرد إلا أن الهيمنة الإسلامية على إسبانيا كانت قد وصلت إلى محطتها الأخيرة.,"[""'loaded_language'""]"
وهاجم الديمقراطيون ترامب، الأحد، ليس بسبب هجومه المتواصل على بايدن فحسب، لكن على حاكمة ميشيغن غريتشن ويتمير، التي استهدفت بمخطط لخطفها من قبل جماعة مسلحة يمينية مدججة بالسلاح.,"[""'loaded_language'""]"
وكان وزير الرياضة الإيطالي فينسينزو سبادافورا قد انتقد تجاهل دوري الدرجة الأولى لكرة القدم دعواته إلى تعليق مبارياته مع تفشي الفيروس القاتل.,"[""'loaded_language'""]"
وفي الإمارات، قالت السلطات إن عدد الإصابات بالفيروس بلغ 21 حالة، منها خمس حالات تماثلت للشفاء.,['no_technique']
وحرص عدد من أبناء الجالية المصرية فى الكويت على التقاط صورة تذكارية بجوار أبراج الكويت، بعد أن تزينت بعلم مصر.,['no_technique']
تناقلت مواقع التواصل الاجتماعي مقتل الأستاذ جامعي الدكتور حامد معيوف أمام طفله الذي لم يتجاوز أربع سنوات، على طريق سبها-الجفرة دون الكشف عن السبب.,['no_technique']
وشمل اللقاء عددًا من الجلسات، تم خلالها التطرق إلى أهداف الاعتماد المدرسي وفلسفته ودورة الاعتماد المدرسي ومعايير الاعتماد المدرسي والتقويم الذاتي وخطط التحسين والتقويم الخارجي، إضافة إلى عرضٍ عن الاعتماد المدرسي الدولي وتنظيم عمل الهيات الأجنبية المانحة للاعتماد المدرسي، والمنصة التقنية للاعتماد المدرسي وآلية الشراكة وعقود اتفاقيات الاعتماد المدرسي.,['no_technique']
وفي كل هذا الوقت، سمحت الاتفاقات المختلفة للجيش الأمريكي بالوصول إلى قواعد القوات الجوية المغربية وعبورها، كما هو الحال أثناء حرب الخليج.,['no_technique']
وختم الضابط حديثه: بعد أن شاهدت الأميرات موقفه طلبن مني أن أمنحه عشرة ألف ريال نظير شهامته لكنه رفض إستلامها وذهب في حال سبيله.,"[""'loaded_language'""]"
وقال مراسل الجزيرة عيسى الطيبي إن الهجوم وقع وسط فيينا، في منطقة تسمى شفيدنبلاتس، وكل المصادر الرسمية والإعلامية لم تؤكد هل كان المعبد اليهودي هو المستهدف أم لا.,"[""'loaded_language'""]"
نحاول عمل توعية وحلقات وندوات توعية للمرضى حول عوامل الخطورة التي تؤدى لأمراض القلب مثل الضغط والسكر والكولسترول،,"[""'loaded_language'""]"
وأهاب الفلاسي بأفراد المجتمع، أن تكون المصادر الرسمية، والأخبار الصادرة عن المؤسسات الصحية المعنية، هي المرجع الوحيد لمتابعة الأمر، لا سيما أن الإمارات دولة مسؤولة، وتمتلك بنية تحتية صحية ممتازة، ولديها الإمكانات العلمية والمادية المهمة التي تمكنها من التعامل مع مثل هذه الحالات الطارئة.,"[""'loaded_language'""]"
"واضافت الوزارة في بيان لها ان الحالات المشتبه بها كانت بين عدد من الموظفين في احد فنادق محافظة بيت لحم، اخذنا الفحوصات اللازمه وبأنتظار النتائج كي يتم اطلاع الجمهور عليها فور صدورها.""",['no_technique']
انتشر في كافة أنحاء الإمبراطورية البيزنطية في آسيا وأفريقيا وأوروبا بين عامي 541 و 542 ، وتشير الوثائق إلى أن هذا الوباء ظهر أولا في مصر وانتقل إلى القسطنطينية حيث كانت الإمبراطورية البيزنطية تحصل على احتياجاتها من الحبوب من مصر، وقد أسفر عن سقوط عدد كبير من الضحايا ، وذلك بحسب منظمة الصحة العالمية،,['no_technique']
وأعرب الرئيس التنفيذي للخدمات المصرفية الشخصية والرقمية في البنك، عبدالله التويجري، عن سعادته بهذا الاختتام المُكلل بالنجاح، قائلاً «نختتم (Boubyan Accelerator) مع 10 من المشاريع والشركات الناشئة التي بدأت واستكملت وتحتفل معنا بالنجاح الحقيقي الذي حققه البرنامج بدورته الأولى».,"[""'loaded_language'""]"
أهم ما ورد بالإعلام العبري صباح الاثنين 29-6-2020 الإثنين 29 يونيو 2020 - 08:42 صباحاً بتوقيت القدس,['no_technique']
الهدف هو إخراج الإسرائيليين من سيناء أي الأرض المصرية التي احتلتها إسرائيل عام 1967 والتي طالبها قرار مجلس الأمن رقم 242 الانسحاب منها ولم تفعل.,['no_technique']
ويوم أمس، قال مستشفى شاريتيه في برلين إن المعارض الروسي استفاق من غيبوبة طبية وإنه يبدي استجابة للكلام.,['no_technique']
وكشفت ماير عن أن البنك يعمل على تقديم تمويل إضافي بمشاريع متنوعة للأردن سيتراوح بين 250 مليون دولار و 350 مليون دولار خلال الأسابيع القادمة، لافتة في هذا السياق إلى نمو محفظة البنك الدولي في الأردن من 500 مليون دولار قبل عدة أعوام إلى 3 مليارات دولار في العام الحالي.,['no_technique']
"وتم إجراء ""7553"" فحصا منذ ظهور الوباء في فلسطين. مواضيع قد تهمك الدكتور إيهاب بسيسو يقدم أمسية ثقافية في البحرين حول ""المجتمع والثقافة: عوامل التأثير وبناء الهوية الثقافية"" ورقة سياسات لمركز الزيتونة تدعو إلى مواصلة الجهود لتشكيل جبهة فلسطينية موحدة تضغط باتجاه إصلاح البيت الفلسطيني اعتداء على مسن واعقتال شاب بالبلدة القديمة من الخليل",['no_technique']
وسلّم الرئيس الموريتاني محمد ولد الغزواني، خلال الجلسة الافتتاحية للقمة التي تستمر يومين، الرئاسة الدورية للمجموعة إلى نظيره التشادي إدريس ديبي.,['no_technique']
مرّ الموسيقار موريس جار بثلاث مراحل لتحديد المخرجين الذين سيتعامل معهم، ويقول إنه في بداية مشواره وإثر فشل زيجاته الأولى؛ تكبّد مصاريف طلاقه، وكان مجبرا على قبول أيّ عرض يُقدم له، ولحسن حظه كانت العروض المقدمة له من مخرجين جيدين. وفي مرحلة ثانية وبتقدمه في السن وهي مرحلة يصفها جار بـ”مرحلة النضج”؛ أصبح أكثر تريثا في الاختيار، وكانت القاعدة في ذلك أنه “من المهم رفض مشروع فيلم لا يسبب لك صدمة”.,"[""'loaded_language'""]"
المحاور: محمد صادق هويده ادَّعى أنه تدرَّب في معسكراتكم، وأنه كان على علاقة شخصية بكم، ما مدى صحة ادِّعاءاته، أو الأقوال المنسوبة إليه في بعض وسائل الإعلام؟,"[""'loaded_language'""]"
وذكرت شبكة سي بي إس أن مسؤولين في إدارة ترامب يناقشون اللجوء إلى المادة 25 من دستور الولايات المتحدة، والتي تحدد آلية عزل الرئيس من منصبه من قبل نائب الرئيس وغالبية أعضاء الادارة.,['no_technique']
"وأوضحت في بيان لها، أن تبون ""يواصل تلقيه العلاج بأحد المستشفيات الألمانية المتخصصة، عقب إصابته بفيروس كورونا المستجد.""",['no_technique']
ويذكر مجلس الدولة أعلى محكمة إدارية في تركيا بطلب من عدة جمعيات وافق على إبطال قرار حكومي يعود للعام 1934 ينص على اعتبار الموقع متحفا. وفور صدور هذا القرار، أعلن أردوغان تحويل كنيسة آيا صوفيا مسجدا.,['no_technique']
"قالت الخارجية الأمريكية إن الوزير مايك بومبيو أكد خلال اتصال هاتفي مع رئيس الوزراء اللبناني حسان دياب على الالتزام ""الراسخ"" بمساعدة الشعب اللبناني بعد الانفجار الهائل الذي وقع في مستودع بمرفأ بيروت وأدى لمقتل 135 شخصا وإصابة الآلاف.","[""'loaded_language'""]"
وتعمل الحكومة على نشر وحدات عسكرية الى المنطقة بالاضافة الى طائرات للمساعدة وتقييم الأوضاع.,['no_technique']
نفت السلطات في مولدوفا أي مسؤولية عن الانفجار الهائل الذي وقع بالعاصمة اللبنانية بيروت. وكانت تقارير إعلامية ذكرت أن مادة نترات الأمونيوم التي تسببت في الانفجار قد وصلت إلى لبنان على متن سفينة تعمل تحت علم مولدوفا. وأكدت السلطات البحرية في مولدوفا أن السفينة لم تبحر تحت علم البلاد منذ سبع سنوات.,"[""'loaded_language'""]"
"وفي حديث سابق مع بي بي سي، قال المحامي أحمد مهران إنه استوحى الفكرة من ""قائمة المنقولات""، وهي إحدى العادات المصرية الشهيرة قبل الزواج، والتي يوثق فيها ملكية كل من الزوجين من قطع أثاث أو أجهزة كهربائية أو ما شابه، ويوقع الزوج على قائمة المنقولات ويقرّ أنه ملزم بردها إذا طلب منه ذلك.",['no_technique']
أبوظبي/ وام / ناشد المركز الوطني للأرصاد مستخدمي الطرق وقائدي السيارات أخذ الحيطة والحذر واتباع إرشادات المرور، بسبب فرصة تشكل الضباب وتدني مدى الرؤية الأفقية، وانعدامها أحياناً على بعض المناطق الغربية ذلك من الساعة 04:45 وحتى الساعة 09:00 من صباح اليوم الإثنين.,"[""'loaded_language'"", ""'appeal_to_fear'""]"
"وتقول: ""بينما تواجه المعلومات الموثوقة صعوبة في تلبية الطلب، تتمتع الحسابات الفردية ومنافذ الأخبار البديلة بالقدرة على خفض الثقة في اللقاحات"".","[""'loaded_language'""]"
كما ساهمت الرسالة في تشجيع يهود القارة الاوروبية على الهجرة الى فلسطين خلال الفترة ما بين الحرب العالمية الأولى والثانية، في وقت كانت القارة تشهد صعودا للتيارات القومية المعادية للسامية.,"[""'loaded_language'""]"
"والمسلسل مقتبس من رواية ""أجوان"" للكاتبة الإماراتية نورة النومان، وهو حاصل على جائزة ""اتصالات لكتاب الطفل"" عام 2013، وتم تحويله إلى مسلسل رسوم متحركة.",['no_technique']
بحث الرئيس الروسي، فلاديمير بوتين، ونظيره التركي، رجب طيب أردوغان، في اتصال هاتفي اليوم الاثنين، تطورات الأوضاع في ليبيا وسوريا والتوتر بين أذربيجان وأرمينيا.,['no_technique']
وانتشرت على مواقع التواصل الاجتماعي أنباء تفيد بخروج اللاعب من معسكر منتخب بلاده عائدا إلى كينيا على خلفية ما تعرّض له، غير أن المتحدث الرسمي باسم منتخب كينيا، كين أوكاكا، نفى تلك المزاعم لاحقا، حيث استكمل أوديامبو مباريات كينيا في الدور الأول كاملة.,"[""'loaded_language'""]"
"احتفى التونسيون بمجرد إعلان وزير الصحة عن توصل المختبر المرجعي للتحاليل الجرثومية بمستشفى شارل نيكول إلى تحديد التركية الجينية لفايروس كورونا. فخر واعتزاز بالكفاءات العلمية التونسية واحترام وتقديرات للوجوه النسائية التي تقف في الصف الأمامي من المعركة حامية الوطيس التي تخوضها تونس ضد تفشي كوفيد - 19، هذا باختصار كان مضمون تعليقات التونسيين في مختلف شبكات التواصل الاجتماعي ومحتوى ردود فعلهم مع تلقيهم خبر ما سموه ""اكتشافا"" و""إنجازا علميا هاما"".","[""'loaded_language'""]"
"وتعرّف المنظمة العقم بأنه "" فشل في الوصول إلى حمل إكلينيكي بعد 12 شهرا أو أكثر من ممارسة دائمة للجنس بشكل غير محمي""، وأشارت المنظمة في النص المذكور، أنها تعمل مع شركائها الطبيين منذ عام 2009 على تطوير معجم مصطلحات تخص العقم والخصوبة، دون أن تعلن عن أي تغيير.",['no_technique']
كما تشير الإحصائية إلى أن إيران تحتل المركز الـ 39 في القائمة بعدد سجناء يبلغ 284 مقابل كل 100 ألف مواطن، فيما اعتبرت الهند من أقل الدول من حيث عدد السجناء، وذلك بـ 30 سجين من كل 100 ألف شخص.,['no_technique']
وحثت جيني ميكاكوس وزيرة الصحة في ولاية فيكتوريا التي عاصمتها ملبورن المواطنين على تجنب استخدام العقار بأنفسهم، مع إشادتها في الوقت نفسه بعمل الباحثين الأستراليين.,"[""'loaded_language'""]"
تبدأ، الاثنين، فعاليات الاجتماعات السنوية لمجلس محافظي صندوق النقد الدولي ومجموعة البنك الدولي، والتي تستمر حتى 16 تشرين الأول/أكتوبر الحالي.,['no_technique']
ويبدو أن المشتبه به الذي وجه إليه الاتهام قد نشر بيانًا قبل الهجوم يوضح فيه نواياه، وكذلك تفاصيل حول خطة الهجوم. ومن المقرر أن تجري محاكمته يوم غد السبت.,"[""'loaded_language'""]"
كانت بعض المصادر المقربة من شيرين، أكدت أنها اختلفت مع زوجها حسام حبيب، وخلافهما قد يصل إلى الانفصال، خصوصا أن شيرين طلبت بالفعل من حسام الطلاق أثناء المشاجرة لكنه رفض بشدة، وتمسكت شيرين بقرارها ورغبتها في الانفصال، خصوصاً أنهما تشابكا بالأيدي وتدخل المطرب أحمد سعد لتهدئة الجمهور بحكم صداقته القديمة بشيرين.,['no_technique']
"وقال متحدث باسم تويتر: ""لقد تم تصنيف هذه التغريدة وفقًا لسياستنا الإعلامية لمنح الناس المزيد من السياق"".",['no_technique']
حضر الرئيس الأمريكي دونالد ترامب قدّاساً في كنيسة لاس فيغاس الدولية، الأحد، حيث أن معظم المصلين لم يكونوا يرتدون أقنعة ولم يكونوا ملتزمين بالتباعد الاجتماعي. خلال القدّاس، جلس ترامب في الصف الأمامي من الكنيسة، وظهر الرئيس الأمريكي وهو يخرج نقوداً من جيبه للتبرع بها.,['no_technique']
"""الخصم مرتبط بتسديد القسط المدرسي كاملا ولا يمنح لولي أمر طالب لا يريد دفع المستحق عليه ... وتسديد الأقساط يترتب عليه تسديد الالتزامات تجاه العاملين في تلك المدارس""، وفق الصوراني.",['no_technique']
وما يزال رجال الإطفاء يحاربون حرائق اندلعت السبت في غابات صلنفة في اللاذقية وامتدت إلى ريف حماة الغربي، وتحديداً إلى قرى الفريكة والفوقانية وعين بدرية.,"[""'loaded_language'""]"
واعتبر أن العقوبات الأميركية على بلاده إساءة لشريك في الناتو، في حين رفضت الخارجية التركية العقوبات الأوروبية، ووصفتها بالمنحازة وغير القانونية.,"[""'loaded_language'""]"
نفت السلطات السورية معلومات نشرها موقع إعلامي تابع لحزب البعث الحاكم في سوريا قالت أن جرى الحجر على 525 مواطنا في السويداء دخلوا المحافظة بطرق غير شرعية.,['no_technique']
"وفي بداية عام 2015 بدأت حسابات العراقيين على مواقع التواصل الاجتماعي -فجأة ودون تعريف سابق به- تتناقل صورا ومقاطع فيديو قصيرة لرجل كنيته ""أبو عزرائيل""، وتظهره أسمرَ اللون، صاحب بنية جسمية قوية، حليق الرأس وذا لحية سوداء كثة الشعر، ويحمل بندقية وسيفا وأجهزة اتصالات، ويرتدي زيا عسكريا غير رسمي، ويتجول في شوارع بغداد برفقة اثنين من المقاتلين.",['no_technique']
قالت وزارة التربية والتعليم الأردنية، إن الطالب سيدفع 50 ديناراً من أجل التعلم عن بعد، وذلك في إطار مواجهة فيروس (كورونا).,['no_technique']
رحب جياني إنفانتينو رئيس الاتحاد الدولي لكرة القدم /فيفا/ بجماهير كرة القدم من مختلف دول العالم، في قطر، لحضور بطولة كأس العالم FIFA قطر 2022 التي ستقام في الفترة من 20 نوفمبر إلى 18 ديسمبر المقبلين.,['no_technique']
قام رجال المرور بمحافظة الجيزة برفع حطام حادث تصادم تريلا و12 سيارة أعلى الطريق الدائري تجاه الرماية، بعد أن انتقل رجال المرور إلى مكان الحادث بواسطة الأوناش لعودة حركة المرور لطبيعتها.,['no_technique']
واعتصم عدد قليل من النشطاء أمام ماكرون وهو في طريقه إلى الداخل، ورفعوا لافتات تحثه على رفض تعيين رئيس الوزراء الجديد قبل ساعات.,"[""'loaded_language'""]"
كلية الدراسات التجارية (المحاسبة والتمويل، البنوك والتمويل، إدارة الأعمال، نظم المعلومات الإدارية، الاقتصاد التطبيقي، التكاليف والمحاسبة الإدارية، التسويق). كلية التربية (علم النفس، اللغة العربية، اللغة الإنجليزية، التربية أساس، التعليم من قبل المدرسية). كلية اللغات (اللغة العربية، اللغة الإنجليزية). كلية علوم الاتصال (العلاقات العامة والاعلان).,['no_technique']
وتساءل محبو الفنان صالح اوقروت في دولة الجزائر عن حقيقة الخبر المتداول، فيما لم تؤكد أية مصادر رسمية في دولة الجزائر خبر الوفاة.,"[""'loaded_language'""]"
كان قد أعلن مستشفى ناصر العام بشبرا الخيمة، اليوم الثلاثاء، وفاة الطبيب محمد حشاد رئيس قسم المبتسرين بالمستشفى متأثرا بإصابته بفيروس كورونا المستجد - كوفيد 19.,['no_technique']
نشرت الفنانة المصرية ياسمين_عبد_العزيز، مقطع فيديو جديد عبر صفحتها على السوشيال ميديا، ظهرت فيه تمازح جمهورها بعدما اطلت عبر (فيلتر) غير من ملامحها. ظن البعض أن ياسمين خضعت لعمليات التجميل وشوهت وجهها واستغنت عن جمالها الطبيعي، إلا أن هذا غير حقيقي، وياسمين لم تخضع للتجميل، بل فقط استخدمت الفيلتر! وهنا نذكر المزيد عن مسيرتها الناجحة.,"[""'loaded_language'""]"
وكانت منظمة الهلال الأحمر الليبي بمدينة طبرق (شرق)، أعلنت أمس الجمعة، أنه تم العثور على جثامين 13 مهاجرًا سريًا، يحملون الجنسية المصرية.,['no_technique']
هذا انتهاك للقانون الدولي، هناك قرارات ذات صلة، هناك بعثة أممية لإجراء استفتاء في الصحراء الغربية، كل ما فعله الأمريكيون الآن هو قرار من جانب واحد يتجاوز القانون الدولي وقرارات مجلس الأمن الدولي التي صوت الأمريكيون أنفسهم لصالحها.,"[""'loaded_language'""]"
"وقالت الفنانة إن ""الدكتورة في العيادة الخاصة أخفت عنها حقيقة ما حدث لها بعد السقوط، وجراح آخر هو من وضعها في الصورة”، مضيفة ""الآن لن أتصرف إلا بعد مرور شهرين. هذه توصيات الأطباء"".",['no_technique']
